"# ROM-11: r*=9, kernel=Matern32, LOO_medio=0.1489"
"# ROM-24: r*=15, kernel=Matern52, LOO_medio=0.0855"

theta_test,cp_max_cfd,cp_max_rom,cp_min_cfd,cp_min_rom,error_rel,rmse
2.50,0.9684,0.9653,-0.6048,-0.5945,0.0290,0.0066
7.50,0.9630,0.9653,-0.7502,-0.8929,0.0559,0.0144
12.50,0.9721,0.9726,-1.2485,-1.0971,0.1070,0.0312
17.50,0.9760,0.9723,-0.7836,-0.8176,0.0573,0.0103
22.50,0.9607,0.9622,-0.6468,-0.5028,0.1275,0.0122
23.75,0.9560,0.9579,-0.4951,-0.4956,0.1808,0.0123
26.25,0.9762,0.9777,-0.4960,-0.4956,0.1466,0.0086
27.50,0.9863,0.9849,-0.5011,-0.4963,0.2636,0.0175
28.75,0.9896,0.9902,-0.4952,-0.4955,0.1244,0.0098
32.50,0.9914,0.9916,-0.5049,-0.4945,0.0266,0.0034
37.50,0.9586,0.9554,-0.4984,-0.4934,0.0405,0.0079
42.50,0.8840,0.8828,-0.4924,-0.4730,0.0541,0.0134
47.50,0.8841,0.8788,-0.4941,-0.4721,0.0428,0.0132
