probe,face,x,y,z,Cp
0,Sotavento,0.05340,-0.03548,0.01000,-0.42159
1,Sotavento,0.05340,-0.03548,0.03000,-0.41695
2,Sotavento,0.05340,-0.03548,0.05000,-0.40707
3,Sotavento,0.05340,-0.03548,0.07000,-0.41815
4,Sotavento,0.05340,-0.03548,0.09000,-0.41175
5,Sotavento,0.05340,-0.03548,0.11000,-0.39200
6,Sotavento,0.05340,-0.03548,0.13000,-0.36257
7,Sotavento,0.05340,-0.03548,0.15000,-0.33218
8,Sotavento,0.05340,-0.03548,0.17000,-0.30442
9,Sotavento,0.05340,-0.03548,0.19000,-0.28273
10,Sotavento,0.05340,-0.03548,0.21000,-0.26983
11,Sotavento,0.05340,-0.03548,0.23000,-0.26693
12,Sotavento,0.05340,-0.03548,0.25000,-0.27354
13,Sotavento,0.05340,-0.03548,0.27000,-0.28808
14,Sotavento,0.05340,-0.03548,0.29000,-0.30850
15,Sotavento,0.05340,-0.03548,0.31000,-0.33258
16,Sotavento,0.05340,-0.03548,0.33000,-0.35767
17,Sotavento,0.05340,-0.03548,0.35000,-0.37707
18,Sotavento,0.05340,-0.03548,0.37000,-0.38905
19,Sotavento,0.05340,-0.03548,0.39000,-0.39296
20,Sotavento,0.05165,-0.01556,0.01000,-0.42247
21,Sotavento,0.05165,-0.01556,0.03000,-0.42008
22,Sotavento,0.05165,-0.01556,0.05000,-0.40854
23,Sotavento,0.05165,-0.01556,0.07000,-0.41081
24,Sotavento,0.05165,-0.01556,0.09000,-0.39980
25,Sotavento,0.05165,-0.01556,0.11000,-0.37825
26,Sotavento,0.05165,-0.01556,0.13000,-0.35002
27,Sotavento,0.05165,-0.01556,0.15000,-0.32040
28,Sotavento,0.05165,-0.01556,0.17000,-0.29324
29,Sotavento,0.05165,-0.01556,0.19000,-0.27221
30,Sotavento,0.05165,-0.01556,0.21000,-0.26030
31,Sotavento,0.05165,-0.01556,0.23000,-0.25871
32,Sotavento,0.05165,-0.01556,0.25000,-0.26681
33,Sotavento,0.05165,-0.01556,0.27000,-0.28282
34,Sotavento,0.05165,-0.01556,0.29000,-0.30416
