p,qr_train,qr_test,rnd_train_med,rnd_train_p25,rnd_train_p75,unif_train,cond_qr,cond_rnd,floor_train,floor_test
8,0.55198,0.58486,0.58006,0.43954,0.68242,0.72423,3.82171,52.44422,0.02491,0.03394
10,0.04436,0.06417,0.28880,0.18488,0.56718,0.60814,8.11348,300.70838,0.02491,0.03394
12,0.04439,0.06383,0.13461,0.10787,0.18196,0.09855,8.09754,76.01338,0.02491,0.03394
15,0.04417,0.06232,0.09540,0.07679,0.12144,0.07864,7.96609,36.41716,0.02491,0.03394
20,0.04369,0.05961,0.07660,0.06103,0.09524,0.06812,7.68239,22.02170,0.02491,0.03394
25,0.04169,0.05575,0.06224,0.04821,0.07419,0.05315,7.17769,14.50063,0.02491,0.03394
30,0.04056,0.05340,0.05170,0.04336,0.06659,0.03788,6.81925,10.48268,0.02491,0.03394
40,0.03931,0.05162,0.04261,0.03766,0.05210,0.03427,6.55678,7.74494,0.02491,0.03394
50,0.03723,0.04894,0.03900,0.03421,0.04505,0.03703,5.58820,5.73814,0.02491,0.03394
60,0.03637,0.04607,0.03486,0.03213,0.03906,0.02866,5.11053,4.44137,0.02491,0.03394
