rank,probe_idx,cara,x,y,z
1,219,Lateral+ (y=+0.05),-0.0400,0.0501,0.3900
2,299,Lateral+ (y=+0.05),0.0400,0.0501,0.3900
3,278,Lateral+ (y=+0.05),0.0200,0.0501,0.3700
4,238,Lateral+ (y=+0.05),-0.0200,0.0501,0.3700
5,117,Barlovento (x=-0.05),-0.0501,-0.0400,0.3500
6,215,Lateral+ (y=+0.05),-0.0400,0.0501,0.3100
7,231,Lateral+ (y=+0.05),-0.0200,0.0501,0.2300
8,199,Barlovento (x=-0.05),-0.0501,0.0400,0.3900
9,272,Lateral+ (y=+0.05),0.0200,0.0501,0.2500
10,200,Lateral+ (y=+0.05),-0.0400,0.0501,0.0100
11,10,Sotavento (x=+0.05),0.0501,-0.0400,0.2100
12,11,Sotavento (x=+0.05),0.0501,-0.0400,0.2300
13,12,Sotavento (x=+0.05),0.0501,-0.0400,0.2500
14,13,Sotavento (x=+0.05),0.0501,-0.0400,0.2700
15,14,Sotavento (x=+0.05),0.0501,-0.0400,0.2900
16,15,Sotavento (x=+0.05),0.0501,-0.0400,0.3100
17,16,Sotavento (x=+0.05),0.0501,-0.0400,0.3300
18,17,Sotavento (x=+0.05),0.0501,-0.0400,0.3500
19,18,Sotavento (x=+0.05),0.0501,-0.0400,0.3700
20,19,Sotavento (x=+0.05),0.0501,-0.0400,0.3900
