theta,cores,cells,exec_time_s,last_iter,cpu_h,cpu_h_eq10,contended,cpu_h_norm
0.00,20,15301012,13248,3500,73.60,53.97,0,53.97
2.50,10,6595959,15829,3500,43.97,43.97,0,43.97
5.00,10,7153450,11512,3500,31.98,31.98,0,31.98
5.00,20,7153450,7660,3500,42.56,31.21,0,31.21
7.50,10,6927094,16642,3500,46.23,46.23,0,46.23
10.00,10,6922836,14570,3500,40.47,40.47,0,40.47
11.25,10,7192195,34107,3500,94.74,94.74,1,44.50
12.50,10,7344026,16854,3500,46.82,46.82,0,46.82
13.75,10,6802611,32203,3500,89.45,89.45,1,42.09
15.00,10,6962377,10770,3500,29.92,29.92,0,29.92
15.00,20,6962377,7529,3500,41.83,30.68,0,30.68
16.25,10,7362595,33354,3500,92.65,92.65,1,45.56
17.50,10,7497372,17886,3500,49.68,49.68,0,49.68
18.75,10,7024658,34730,3500,96.47,96.47,1,43.47
20.00,10,6642157,12960,3500,36.00,36.00,0,36.00
21.25,10,7474271,34595,3500,96.10,96.10,1,46.25
22.50,10,7055299,16629,3500,46.19,46.19,0,46.19
23.75,10,7283903,18796,3500,52.21,52.21,0,52.21
25.00,10,6819008,13515,3500,37.54,37.54,0,37.54
26.25,10,7035940,18028,3500,50.08,50.08,0,50.08
27.50,10,7182474,17730,3500,49.25,49.25,0,49.25
28.75,10,7020233,15638,3500,43.44,43.44,0,43.44
30.00,10,6983191,13936,3500,38.71,38.71,0,38.71
32.50,10,6735648,16415,3500,45.60,45.60,0,45.60
35.00,20,6877479,6999,3500,38.89,28.52,0,28.52
37.50,10,6250324,14857,3500,41.27,41.27,0,41.27
40.00,20,5954667,8900,3500,49.44,36.26,0,36.26
42.50,10,6165897,11139,3500,30.94,30.94,0,30.94
45.00,20,17516758,23871,3500,132.62,97.25,0,97.25
47.50,10,6165897,11225,3500,31.18,31.18,0,31.18
50.00,20,5954667,7071,3500,39.29,28.81,0,28.81
