theta,zona,rmse_stat,rmse_gibbs,diff
0.00000,0,0.02832,0.02832,0.00000
2.50000,0,0.01159,0.01159,0.00000
5.00000,0,0.01050,0.01051,0.00001
7.50000,0,0.01960,0.02082,0.00121
10.00000,1,0.01795,0.01795,0.00000
12.50000,1,0.03458,0.03460,0.00003
15.00000,1,0.02356,0.02356,0.00000
17.50000,1,0.01269,0.01269,-0.00000
20.00000,1,0.01107,0.01107,0.00000
22.50000,1,0.01688,0.01687,-0.00001
23.75000,1,0.01612,0.01612,0.00000
25.00000,1,0.00791,0.00792,0.00000
26.25000,1,0.00685,0.00685,-0.00000
27.50000,1,0.01355,0.01355,-0.00000
28.75000,1,0.00697,0.00708,0.00011
30.00000,1,0.01040,0.01040,-0.00000
32.50000,0,0.00845,0.00846,0.00001
35.00000,0,0.00549,0.00555,0.00006
37.50000,0,0.00637,0.00637,0.00000
40.00000,0,0.01254,0.01254,0.00000
42.50000,0,0.01830,0.01831,0.00001
45.00000,0,0.04739,0.04739,0.00001
,,,,
mean_diff,,0.01578,0.01584,0.00007
ci95_lo,,,,0.00000
ci95_hi,,,,0.00018
