probe,face,x,y,z,Cp
0,Sotavento,0.05010,-0.04000,0.01000,-0.40754
1,Sotavento,0.05010,-0.04000,0.03000,-0.40014
2,Sotavento,0.05010,-0.04000,0.05000,-0.39704
3,Sotavento,0.05010,-0.04000,0.07000,-0.40812
4,Sotavento,0.05010,-0.04000,0.09000,-0.40390
5,Sotavento,0.05010,-0.04000,0.11000,-0.38867
6,Sotavento,0.05010,-0.04000,0.13000,-0.36464
7,Sotavento,0.05010,-0.04000,0.15000,-0.33730
8,Sotavento,0.05010,-0.04000,0.17000,-0.31327
9,Sotavento,0.05010,-0.04000,0.19000,-0.29654
10,Sotavento,0.05010,-0.04000,0.21000,-0.28934
11,Sotavento,0.05010,-0.04000,0.23000,-0.29178
12,Sotavento,0.05010,-0.04000,0.25000,-0.30293
13,Sotavento,0.05010,-0.04000,0.27000,-0.32046
14,Sotavento,0.05010,-0.04000,0.29000,-0.34080
15,Sotavento,0.05010,-0.04000,0.31000,-0.36081
16,Sotavento,0.05010,-0.04000,0.33000,-0.37809
17,Sotavento,0.05010,-0.04000,0.35000,-0.38961
18,Sotavento,0.05010,-0.04000,0.37000,-0.39263
19,Sotavento,0.05010,-0.04000,0.39000,-0.38653
20,Sotavento,0.05010,-0.02000,0.01000,-0.41506
21,Sotavento,0.05010,-0.02000,0.03000,-0.40946
22,Sotavento,0.05010,-0.02000,0.05000,-0.39526
23,Sotavento,0.05010,-0.02000,0.07000,-0.40247
24,Sotavento,0.05010,-0.02000,0.09000,-0.39629
25,Sotavento,0.05010,-0.02000,0.11000,-0.37919
26,Sotavento,0.05010,-0.02000,0.13000,-0.35239
27,Sotavento,0.05010,-0.02000,0.15000,-0.32067
28,Sotavento,0.05010,-0.02000,0.17000,-0.29161
29,Sotavento,0.05010,-0.02000,0.19000,-0.27137
30,Sotavento,0.05010,-0.02000,0.21000,-0.26261
31,Sotavento,0.05010,-0.02000,0.23000,-0.26505
32,Sotavento,0.05010,-0.02000,0.25000,-0.27687
33,Sotavento,0.05010,-0.02000,0.27000,-0.29554
34,Sotavento,0.05010,-0.02000,0.29000,-0.31864
35,Sotavento,0.05010,-0.02000,0.31000,-0.34321
36,Sotavento,0.05010,-0.02000,0.33000,-0.36580
37,Sotavento,0.05010,-0.02000,0.35000,-0.38311
38,Sotavento,0.05010,-0.02000,0.37000,-0.39303
39,Sotavento,0.05010,-0.02000,0.39000,-0.39970
40,Sotavento,0.05010,0.00000,0.01000,-0.34810
41,Sotavento,0.05010,0.00000,0.03000,-0.36801
42,Sotavento,0.05010,0.00000,0.05000,-0.38649
43,Sotavento,0.05010,0.00000,0.07000,-0.39583
44,Sotavento,0.05010,0.00000,0.09000,-0.39169
45,Sotavento,0.05010,0.00000,0.11000,-0.37590
46,Sotavento,0.05010,0.00000,0.13000,-0.34948
47,Sotavento,0.05010,0.00000,0.15000,-0.31678
48,Sotavento,0.05010,0.00000,0.17000,-0.28631
49,Sotavento,0.05010,0.00000,0.19000,-0.26504
50,Sotavento,0.05010,0.00000,0.21000,-0.25576
51,Sotavento,0.05010,0.00000,0.23000,-0.25814
52,Sotavento,0.05010,0.00000,0.25000,-0.27026
53,Sotavento,0.05010,0.00000,0.27000,-0.28934
54,Sotavento,0.05010,0.00000,0.29000,-0.31268
55,Sotavento,0.05010,0.00000,0.31000,-0.33793
56,Sotavento,0.05010,0.00000,0.33000,-0.36201
57,Sotavento,0.05010,0.00000,0.35000,-0.38122
58,Sotavento,0.05010,0.00000,0.37000,-0.39363
59,Sotavento,0.05010,0.00000,0.39000,-0.40499
60,Sotavento,0.05010,0.02000,0.01000,-0.40761
61,Sotavento,0.05010,0.02000,0.03000,-0.40203
62,Sotavento,0.05010,0.02000,0.05000,-0.39210
63,Sotavento,0.05010,0.02000,0.07000,-0.39982
64,Sotavento,0.05010,0.02000,0.09000,-0.39500
65,Sotavento,0.05010,0.02000,0.11000,-0.37845
66,Sotavento,0.05010,0.02000,0.13000,-0.35188
67,Sotavento,0.05010,0.02000,0.15000,-0.32029
68,Sotavento,0.05010,0.02000,0.17000,-0.29129
69,Sotavento,0.05010,0.02000,0.19000,-0.27111
70,Sotavento,0.05010,0.02000,0.21000,-0.26239
71,Sotavento,0.05010,0.02000,0.23000,-0.26486
72,Sotavento,0.05010,0.02000,0.25000,-0.27669
73,Sotavento,0.05010,0.02000,0.27000,-0.29535
74,Sotavento,0.05010,0.02000,0.29000,-0.31846
75,Sotavento,0.05010,0.02000,0.31000,-0.34310
76,Sotavento,0.05010,0.02000,0.33000,-0.36575
77,Sotavento,0.05010,0.02000,0.35000,-0.38312
78,Sotavento,0.05010,0.02000,0.37000,-0.39311
79,Sotavento,0.05010,0.02000,0.39000,-0.39975
80,Sotavento,0.05010,0.04000,0.01000,-0.40214
81,Sotavento,0.05010,0.04000,0.03000,-0.39627
82,Sotavento,0.05010,0.04000,0.05000,-0.39486
83,Sotavento,0.05010,0.04000,0.07000,-0.40604
84,Sotavento,0.05010,0.04000,0.09000,-0.40248
85,Sotavento,0.05010,0.04000,0.11000,-0.38756
86,Sotavento,0.05010,0.04000,0.13000,-0.36373
87,Sotavento,0.05010,0.04000,0.15000,-0.33660
88,Sotavento,0.05010,0.04000,0.17000,-0.31269
89,Sotavento,0.05010,0.04000,0.19000,-0.29606
90,Sotavento,0.05010,0.04000,0.21000,-0.28898
91,Sotavento,0.05010,0.04000,0.23000,-0.29149
92,Sotavento,0.05010,0.04000,0.25000,-0.30274
93,Sotavento,0.05010,0.04000,0.27000,-0.32022
94,Sotavento,0.05010,0.04000,0.29000,-0.34063
95,Sotavento,0.05010,0.04000,0.31000,-0.36081
96,Sotavento,0.05010,0.04000,0.33000,-0.37823
97,Sotavento,0.05010,0.04000,0.35000,-0.38987
98,Sotavento,0.05010,0.04000,0.37000,-0.39296
99,Sotavento,0.05010,0.04000,0.39000,-0.38654
100,Barlovento,-0.05010,-0.04000,0.01000,0.28023
101,Barlovento,-0.05010,-0.04000,0.03000,0.25608
102,Barlovento,-0.05010,-0.04000,0.05000,0.31165
103,Barlovento,-0.05010,-0.04000,0.07000,0.36829
104,Barlovento,-0.05010,-0.04000,0.09000,0.41176
105,Barlovento,-0.05010,-0.04000,0.11000,0.44883
106,Barlovento,-0.05010,-0.04000,0.13000,0.48158
107,Barlovento,-0.05010,-0.04000,0.15000,0.51127
108,Barlovento,-0.05010,-0.04000,0.17000,0.53884
109,Barlovento,-0.05010,-0.04000,0.19000,0.56442
110,Barlovento,-0.05010,-0.04000,0.21000,0.58827
111,Barlovento,-0.05010,-0.04000,0.23000,0.61056
112,Barlovento,-0.05010,-0.04000,0.25000,0.63160
113,Barlovento,-0.05010,-0.04000,0.27000,0.65162
114,Barlovento,-0.05010,-0.04000,0.29000,0.67104
115,Barlovento,-0.05010,-0.04000,0.31000,0.68979
116,Barlovento,-0.05010,-0.04000,0.33000,0.70768
117,Barlovento,-0.05010,-0.04000,0.35000,0.72361
118,Barlovento,-0.05010,-0.04000,0.37000,0.72896
119,Barlovento,-0.05010,-0.04000,0.39000,0.63836
120,Barlovento,-0.05010,-0.02000,0.01000,0.49156
121,Barlovento,-0.05010,-0.02000,0.03000,0.42572
122,Barlovento,-0.05010,-0.02000,0.05000,0.46649
123,Barlovento,-0.05010,-0.02000,0.07000,0.52300
124,Barlovento,-0.05010,-0.02000,0.09000,0.57487
125,Barlovento,-0.05010,-0.02000,0.11000,0.62081
126,Barlovento,-0.05010,-0.02000,0.13000,0.66183
127,Barlovento,-0.05010,-0.02000,0.15000,0.69898
128,Barlovento,-0.05010,-0.02000,0.17000,0.73307
129,Barlovento,-0.05010,-0.02000,0.19000,0.76460
130,Barlovento,-0.05010,-0.02000,0.21000,0.79394
131,Barlovento,-0.05010,-0.02000,0.23000,0.82133
132,Barlovento,-0.05010,-0.02000,0.25000,0.84691
133,Barlovento,-0.05010,-0.02000,0.27000,0.87070
134,Barlovento,-0.05010,-0.02000,0.29000,0.89251
135,Barlovento,-0.05010,-0.02000,0.31000,0.91155
136,Barlovento,-0.05010,-0.02000,0.33000,0.92594
137,Barlovento,-0.05010,-0.02000,0.35000,0.93006
138,Barlovento,-0.05010,-0.02000,0.37000,0.90276
139,Barlovento,-0.05010,-0.02000,0.39000,0.70572
140,Barlovento,-0.05010,0.00000,0.01000,0.53467
141,Barlovento,-0.05010,0.00000,0.03000,0.46177
142,Barlovento,-0.05010,0.00000,0.05000,0.49796
143,Barlovento,-0.05010,0.00000,0.07000,0.55283
144,Barlovento,-0.05010,0.00000,0.09000,0.60574
145,Barlovento,-0.05010,0.00000,0.11000,0.65336
146,Barlovento,-0.05010,0.00000,0.13000,0.69610
147,Barlovento,-0.05010,0.00000,0.15000,0.73484
148,Barlovento,-0.05010,0.00000,0.17000,0.77032
149,Barlovento,-0.05010,0.00000,0.19000,0.80310
150,Barlovento,-0.05010,0.00000,0.21000,0.83354
151,Barlovento,-0.05010,0.00000,0.23000,0.86190
152,Barlovento,-0.05010,0.00000,0.25000,0.88827
153,Barlovento,-0.05010,0.00000,0.27000,0.91261
154,Barlovento,-0.05010,0.00000,0.29000,0.93454
155,Barlovento,-0.05010,0.00000,0.31000,0.95305
156,Barlovento,-0.05010,0.00000,0.33000,0.96569
157,Barlovento,-0.05010,0.00000,0.35000,0.96545
158,Barlovento,-0.05010,0.00000,0.37000,0.92803
159,Barlovento,-0.05010,0.00000,0.39000,0.71257
160,Barlovento,-0.05010,0.02000,0.01000,0.49165
161,Barlovento,-0.05010,0.02000,0.03000,0.42579
162,Barlovento,-0.05010,0.02000,0.05000,0.46657
163,Barlovento,-0.05010,0.02000,0.07000,0.52308
164,Barlovento,-0.05010,0.02000,0.09000,0.57496
165,Barlovento,-0.05010,0.02000,0.11000,0.62090
166,Barlovento,-0.05010,0.02000,0.13000,0.66193
167,Barlovento,-0.05010,0.02000,0.15000,0.69908
168,Barlovento,-0.05010,0.02000,0.17000,0.73318
169,Barlovento,-0.05010,0.02000,0.19000,0.76471
170,Barlovento,-0.05010,0.02000,0.21000,0.79406
171,Barlovento,-0.05010,0.02000,0.23000,0.82147
172,Barlovento,-0.05010,0.02000,0.25000,0.84706
173,Barlovento,-0.05010,0.02000,0.27000,0.87086
174,Barlovento,-0.05010,0.02000,0.29000,0.89266
175,Barlovento,-0.05010,0.02000,0.31000,0.91169
176,Barlovento,-0.05010,0.02000,0.33000,0.92607
177,Barlovento,-0.05010,0.02000,0.35000,0.93016
178,Barlovento,-0.05010,0.02000,0.37000,0.90281
179,Barlovento,-0.05010,0.02000,0.39000,0.70555
180,Barlovento,-0.05010,0.04000,0.01000,0.28046
181,Barlovento,-0.05010,0.04000,0.03000,0.25629
182,Barlovento,-0.05010,0.04000,0.05000,0.31182
183,Barlovento,-0.05010,0.04000,0.07000,0.36856
184,Barlovento,-0.05010,0.04000,0.09000,0.41206
185,Barlovento,-0.05010,0.04000,0.11000,0.44915
186,Barlovento,-0.05010,0.04000,0.13000,0.48191
187,Barlovento,-0.05010,0.04000,0.15000,0.51160
188,Barlovento,-0.05010,0.04000,0.17000,0.53920
189,Barlovento,-0.05010,0.04000,0.19000,0.56481
190,Barlovento,-0.05010,0.04000,0.21000,0.58871
191,Barlovento,-0.05010,0.04000,0.23000,0.61108
